step,type,loss,cumulative_time_ms,step_avg_ms
0,val,10.8258,0,0.02
1,train,,814,813.54
2,train,,1450,724.75
3,train,,2082,693.84
4,train,,2691,672.75
5,train,,3403,680.59
6,train,,4065,677.43
7,train,,4807,686.74
8,train,,5448,681.01
9,train,,6107,678.51
10,train,,6736,673.56
11,train,,7382,671.05
12,train,,8158,679.87
13,train,,8860,681.56
14,train,,9581,684.39
15,train,,10331,688.74
16,train,,10971,685.72
17,train,,11605,682.67
18,train,,12229,679.41
19,train,,13093,689.09
20,train,,13977,698.83
21,train,,14704,700.20
22,train,,15539,706.34
23,train,,16266,707.24
24,train,,16888,703.67
25,train,,17600,703.99
26,train,,18322,704.70
27,train,,19045,705.38
28,train,,19716,704.16
29,train,,20377,702.65
30,train,,21000,700.00
31,train,,21652,698.45
32,train,,22386,699.56
33,train,,23084,699.52
34,train,,23777,699.34
35,train,,24399,697.11
36,train,,25051,695.86
37,train,,25685,694.18
38,train,,26463,696.38
39,train,,27266,699.14
40,train,,28139,703.47
41,train,,28880,704.40
42,train,,29556,703.71
43,train,,30430,707.67
44,train,,31093,706.65
45,train,,31765,705.89
46,train,,32456,705.57
47,train,,33086,703.96
48,train,,33736,702.84
49,train,,34476,703.60
50,train,,35147,702.94
51,train,,36209,709.98
52,train,,37073,712.94
53,train,,37777,712.76
54,train,,38589,714.61
55,train,,39252,713.68
56,train,,40045,715.09
57,train,,40789,715.60
58,train,,41563,716.61
59,train,,42292,716.82
60,train,,42919,715.32
61,train,,43652,715.61
62,train,,44308,714.64
63,train,,45039,714.90
64,train,,45718,714.34
65,train,,46458,714.73
66,train,,47182,714.87
67,train,,47823,713.77
68,train,,48715,716.40
69,train,,49674,719.92
70,train,,50301,718.58
71,train,,51010,718.46
72,train,,51663,717.54
73,train,,52414,718.00
74,train,,53306,720.35
75,train,,53964,719.51
76,train,,54651,719.09
77,train,,55371,719.11
78,train,,56060,718.72
79,train,,56672,717.37
80,train,,57330,716.63
81,train,,58067,716.88
82,train,,58745,716.40
83,train,,59403,715.70
84,train,,60091,715.36
85,train,,60835,715.71
86,train,,61766,718.20
87,train,,62442,717.73
88,train,,63212,718.31
89,train,,63869,717.63
90,train,,64537,717.07
91,train,,65202,716.51
92,train,,65882,716.10
93,train,,66677,716.96
94,train,,67464,717.70
95,train,,68178,717.66
96,train,,68845,717.14
97,train,,69521,716.71
98,train,,70256,716.89
99,train,,70946,716.63
100,train,,71721,717.21
100,val,5.5037,71721,717.21
101,train,,72452,717.34
102,train,,73166,717.32
103,train,,73858,717.06
104,train,,74505,716.39
105,train,,75150,715.72
106,train,,75884,715.89
107,train,,76563,715.54
108,train,,77228,715.08
109,train,,77917,714.83
110,train,,78563,714.21
111,train,,79239,713.87
112,train,,79902,713.41
113,train,,80525,712.61
114,train,,81221,712.46
115,train,,82082,713.76
116,train,,82911,714.75
117,train,,83608,714.60
118,train,,84318,714.56
119,train,,84996,714.25
120,train,,85685,714.04
121,train,,86385,713.93
122,train,,87070,713.69
123,train,,87741,713.35
124,train,,88419,713.06
125,train,,89118,712.95
126,train,,89816,712.83
127,train,,90473,712.38
128,train,,91153,712.13
129,train,,91886,712.29
130,train,,92558,711.98
131,train,,93348,712.58
132,train,,94034,712.38
133,train,,94669,711.80
134,train,,95449,712.30
135,train,,96075,711.67
136,train,,96702,711.05
137,train,,97422,711.11
138,train,,98094,710.83
139,train,,98750,710.43
140,train,,99398,709.99
141,train,,100109,709.99
142,train,,100835,710.10
143,train,,101482,709.66
144,train,,102352,710.78
145,train,,103071,710.83
146,train,,103717,710.39
147,train,,104331,709.74
148,train,,104974,709.28
149,train,,105634,708.95
150,train,,106360,709.07
151,train,,107009,708.67
152,train,,107733,708.77
