step,type,loss,cumulative_time_ms,step_avg_ms
0,val,10.8258,0,0.32
1,train,,2074,2074.23
2,train,,3148,1574.15
3,train,,4354,1451.17
4,train,,5385,1346.15
5,train,,6593,1318.62
6,train,,7847,1307.78
7,train,,8844,1263.46
8,train,,10888,1361.06
9,train,,13354,1483.79
10,train,,14477,1447.75
11,train,,15799,1436.28
12,train,,16838,1403.13
13,train,,18207,1400.53
14,train,,19292,1378.01
15,train,,21192,1412.82
16,train,,23056,1441.02
17,train,,24979,1469.37
18,train,,26032,1446.23
19,train,,27119,1427.32
20,train,,31359,1567.97
21,train,,33291,1585.30
22,train,,34596,1572.56
23,train,,36041,1567.01
24,train,,37194,1549.75
25,train,,38325,1533.01
26,train,,39482,1518.54
27,train,,43738,1619.93
28,train,,44807,1600.25
29,train,,46945,1618.80
30,train,,48061,1602.02
31,train,,49261,1589.05
32,train,,50517,1578.67
33,train,,51535,1561.67
34,train,,54191,1593.84
35,train,,55393,1582.64
36,train,,56470,1568.61
37,train,,57670,1558.64
38,train,,58784,1546.94
39,train,,60091,1540.80
40,train,,61420,1535.49
41,train,,62495,1524.28
42,train,,63694,1516.52
43,train,,64778,1506.46
44,train,,65897,1497.65
45,train,,66907,1486.81
46,train,,70609,1534.98
47,train,,71720,1525.95
48,train,,72994,1520.71
49,train,,74103,1512.30
50,train,,75201,1504.01
51,train,,76950,1508.83
52,train,,78388,1507.46
53,train,,79642,1502.67
54,train,,80841,1497.05
55,train,,81909,1489.25
56,train,,83193,1485.58
57,train,,85401,1498.26
58,train,,86420,1490.00
59,train,,87827,1488.60
60,train,,88963,1482.71
61,train,,90122,1477.40
62,train,,91173,1470.54
63,train,,92875,1474.21
64,train,,94262,1472.84
65,train,,95259,1465.53
66,train,,96301,1459.10
67,train,,97377,1453.40
68,train,,98350,1446.32
69,train,,99763,1445.84
70,train,,100835,1440.50
71,train,,101803,1433.84
72,train,,103359,1435.54
73,train,,104412,1430.30
74,train,,106287,1436.30
75,train,,107437,1432.49
76,train,,108636,1429.41
77,train,,109800,1425.98
78,train,,110990,1422.95
79,train,,112193,1420.16
80,train,,113294,1416.17
81,train,,114323,1411.39
82,train,,115323,1406.38
83,train,,116391,1402.30
84,train,,117546,1399.36
85,train,,118867,1398.44
86,train,,120173,1397.36
87,train,,121301,1394.26
88,train,,122325,1390.06
89,train,,123390,1386.40
90,train,,124468,1382.98
91,train,,125572,1379.91
92,train,,128951,1401.64
93,train,,130036,1398.23
94,train,,131177,1395.50
95,train,,133811,1408.54
96,train,,134827,1404.45
97,train,,135860,1400.61
98,train,,137866,1406.80
99,train,,139234,1406.40
100,train,,140688,1406.88
100,val,5.0385,140688,1406.88
101,train,,141836,1404.32
102,train,,142888,1400.86
103,train,,143989,1397.95
104,train,,145194,1396.10
105,train,,146380,1394.09
106,train,,147557,1392.04
107,train,,149718,1399.23
108,train,,150829,1396.56
109,train,,152284,1397.10
110,train,,153450,1395.00
111,train,,154686,1393.57
112,train,,156190,1394.55
113,train,,157244,1391.54
114,train,,158467,1390.06
115,train,,159612,1387.93
116,train,,160844,1386.59
117,train,,161944,1384.14
118,train,,163770,1387.88
119,train,,164828,1385.11
120,train,,166011,1383.43
121,train,,167171,1381.58
122,train,,168368,1380.07
123,train,,169482,1377.91
124,train,,170645,1376.17
125,train,,172817,1382.54
126,train,,174037,1381.25
127,train,,175320,1380.47
128,train,,176736,1380.75
129,train,,177805,1378.33
130,train,,178771,1375.16
131,train,,179949,1373.66
132,train,,181006,1371.26
133,train,,182046,1368.77
134,train,,183276,1367.73
135,train,,184642,1367.72
136,train,,185726,1365.63
137,train,,187723,1370.24
138,train,,188785,1368.01
139,train,,189901,1366.20
140,train,,191186,1365.62
141,train,,192448,1364.88
142,train,,193888,1365.41
143,train,,195355,1366.12
144,train,,197557,1371.92
145,train,,199335,1374.72
146,train,,200812,1375.43
147,train,,202045,1374.46
148,train,,203209,1373.03
149,train,,204842,1374.78
150,train,,205855,1372.36
151,train,,206846,1369.84
152,train,,208071,1368.89
153,train,,209528,1369.47
154,train,,211824,1375.48
155,train,,213805,1379.39
156,train,,215105,1378.88
157,train,,216295,1377.68
158,train,,217599,1377.21
159,train,,218722,1375.61
160,train,,219948,1374.68
161,train,,220941,1372.30
162,train,,222070,1370.80
163,train,,223536,1371.39
164,train,,225071,1372.39
165,train,,226295,1371.49
166,train,,227287,1369.20
167,train,,228461,1368.03
168,train,,229673,1367.10
169,train,,230772,1365.52
170,train,,232367,1366.86
171,train,,233404,1364.93
172,train,,234527,1363.53
173,train,,235992,1364.11
174,train,,237114,1362.73
175,train,,238115,1360.66
176,train,,239298,1359.65
177,train,,240937,1361.23
178,train,,242140,1360.33
179,train,,246404,1376.56
180,train,,247537,1375.20
181,train,,248708,1374.08
182,train,,249977,1373.50
183,train,,251235,1372.87
184,train,,252491,1372.24
185,train,,253555,1370.57
186,train,,257422,1383.99
187,train,,258549,1382.62
188,train,,259867,1382.27
189,train,,261137,1381.68
190,train,,262594,1382.07
191,train,,263726,1380.77
192,train,,264822,1379.28
193,train,,265929,1377.87
194,train,,267041,1376.50
195,train,,268118,1374.96
196,train,,269178,1373.36
197,train,,270265,1371.90
198,train,,271385,1370.63
199,train,,272565,1369.67
200,train,,273737,1368.69
200,val,4.3885,273737,1368.69
201,train,,275089,1368.60
202,train,,276270,1367.67
203,train,,277311,1366.06
204,train,,279192,1368.59
205,train,,280207,1366.86
206,train,,281417,1366.10
207,train,,282579,1365.12
208,train,,283949,1365.14
209,train,,285084,1364.04
210,train,,286149,1362.61
211,train,,287234,1361.30
212,train,,288325,1360.02
213,train,,289496,1359.14
214,train,,290865,1359.18
215,train,,291907,1357.71
216,train,,292923,1356.12
217,train,,294038,1355.01
218,train,,295128,1353.80
219,train,,296485,1353.81
220,train,,300663,1366.65
221,train,,301746,1365.37
222,train,,303097,1365.30
223,train,,304931,1367.40
224,train,,305916,1365.70
225,train,,310193,1378.64
226,train,,311172,1376.87
227,train,,312200,1375.33
228,train,,313206,1373.71
229,train,,314275,1372.38
230,train,,315388,1371.25
231,train,,316424,1369.80
232,train,,317602,1368.98
233,train,,319049,1369.31
234,train,,320127,1368.06
235,train,,321158,1366.63
236,train,,322251,1365.47
237,train,,323274,1364.03
238,train,,324322,1362.70
239,train,,325615,1362.41
240,train,,326649,1361.04
241,train,,328170,1361.70
242,train,,329320,1360.83
243,train,,330303,1359.27
244,train,,331415,1358.26
245,train,,332441,1356.90
246,train,,333526,1355.80
247,train,,334685,1355.00
248,train,,335940,1354.60
249,train,,337212,1354.27
250,train,,338609,1354.44
251,train,,342888,1366.09
252,train,,344034,1365.21
253,train,,345033,1363.77
254,train,,346095,1362.58
255,train,,347322,1362.05
256,train,,348386,1360.88
257,train,,349399,1359.53
258,train,,350741,1359.46
259,train,,352559,1361.23
260,train,,353644,1360.17
261,train,,354913,1359.82
262,train,,356002,1358.78
263,train,,357110,1357.83
264,train,,358172,1356.71
265,train,,359474,1356.50
266,train,,360614,1355.69
267,train,,361688,1354.64
268,train,,363069,1354.73
269,train,,364187,1353.86
270,train,,365486,1353.65
271,train,,366800,1353.51
272,train,,368066,1353.19
273,train,,369536,1353.61
274,train,,370778,1353.21
275,train,,372097,1353.08
276,train,,373400,1352.90
277,train,,374534,1352.11
278,train,,376066,1352.76
279,train,,377113,1351.66
280,train,,378293,1351.05
281,train,,379524,1350.62
282,train,,380602,1349.65
283,train,,381929,1349.57
284,train,,383606,1350.73
285,train,,384729,1349.93
286,train,,385989,1349.61
287,train,,387597,1350.51
288,train,,388782,1349.94
289,train,,390419,1350.93
290,train,,391540,1350.14
291,train,,392741,1349.62
292,train,,393802,1348.64
293,train,,394908,1347.81
294,train,,396328,1348.05
295,train,,397377,1347.04
296,train,,398417,1346.00
297,train,,399444,1344.93
298,train,,400638,1344.42
299,train,,401748,1343.64
300,train,,402776,1342.59
300,val,4.1175,402777,1342.59
301,train,,403928,1341.95
302,train,,405101,1341.39
303,train,,406694,1342.22
304,train,,407828,1341.54
305,train,,409333,1342.08
306,train,,410675,1342.08
307,train,,411776,1341.29
308,train,,412843,1340.40
309,train,,414168,1340.35
310,train,,415372,1339.91
311,train,,416860,1340.38
312,train,,418063,1339.95
313,train,,419195,1339.28
314,train,,420493,1339.15
315,train,,421571,1338.32
316,train,,422801,1337.98
317,train,,423918,1337.28
318,train,,424919,1336.22
319,train,,426029,1335.51
320,train,,427195,1334.99
321,train,,428442,1334.71
322,train,,429529,1333.94
323,train,,431567,1336.12
324,train,,432582,1335.13
325,train,,433788,1334.73
326,train,,435283,1335.23
327,train,,436827,1335.86
328,train,,437901,1335.06
329,train,,439240,1335.08
330,train,,440660,1335.33
331,train,,441672,1334.36
332,train,,442811,1333.77
333,train,,443939,1333.15
334,train,,445054,1332.50
335,train,,446257,1332.11
336,train,,447338,1331.36
337,train,,448416,1330.61
338,train,,449584,1330.13
339,train,,450747,1329.64
340,train,,451955,1329.28
341,train,,453214,1329.07
342,train,,454431,1328.75
343,train,,455685,1328.53
344,train,,456795,1327.89
345,train,,458173,1328.04
346,train,,459322,1327.52
347,train,,460544,1327.22
348,train,,461857,1327.18
349,train,,462960,1326.53
350,train,,465065,1328.76
351,train,,466376,1328.71
352,train,,467656,1328.57
353,train,,469121,1328.96
354,train,,470588,1329.35
355,train,,471826,1329.09
356,train,,473180,1329.16
357,train,,474286,1328.53
358,train,,475386,1327.89
359,train,,476869,1328.33
360,train,,481146,1336.52
361,train,,482290,1335.98
362,train,,483481,1335.58
363,train,,484593,1334.97
364,train,,485899,1334.89
365,train,,487523,1335.68
366,train,,489863,1338.42
367,train,,494199,1346.59
368,train,,495243,1345.77
369,train,,496412,1345.29
370,train,,497504,1344.61
371,train,,498975,1344.94
372,train,,499990,1344.06
373,train,,501004,1343.18
